California - 21st District,REP,David Valadao,"68,481",58%,DEM,Emilio Huerta,"49,643",42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 22nd District,REP,Devin Nunes,"143,333",68.20%,DEM,Louie Campos,"66,802",31.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 23rd District,REP,Kevin McCarthy,"151,346",70%,DEM,Wendy Reed,"64,842",30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 24th District,DEM,Salud Carbajal,"155,492",53.20%,REP,Justin Fareed,"136,532",46.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 25th District,REP,Steve Knight,"112,768",54.20%,DEM,Bryan Caforio,"95,296",45.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 26th District,DEM,Julia Brownley,"148,550",59.90%,REP,Rafael Dagnesses,"99,597",40.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 27th District,DEM,Judy Chu,"133,766",66.50%,REP,Jack Orswell,"67,421",33.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 28th District,DEM,Adam Schiff,"168,082",77.90%,REP,Lenore Solis,"47,619",22.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 29th District,DEM,Tony Cardenas,"98,879",75.20%,DEM,Richard Alarcon,"32,656",24.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 30th District,DEM,Brad Sherman,"159,974",72.40%,REP,Mark Reed,"60,865",27.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 31st District,DEM,Pete Aguilar,"111,870",55.70%,REP,Paul Chabot,"89,070",44.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 32nd District,DEM,Grace Napolitano,"93,059",62.40%,DEM,Roger Hernandez,"56,050",37.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 33rd District,DEM,Ted Lieu,"173,778",66.30%,REP,Kenneth Wright,"88,507",33.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 34th District,DEM,Xavier Becerra,"97,305",78.20%,DEM,Adrienne Edwards,"27,091",21.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
