California - 35th District,DEM,Norma Torres,"36,992",63.30%,DEM,Christina Gagnier,"21,471",36.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 36th District,DEM,Raul Ruiz,"67,970",53.80%,REP,Brian Nestande,"58,445",46.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 37th District,DEM,Karen Bass,"79,699",83.90%,REP,Adam King,"15,291",16.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 38th District,DEM,Linda Sanchez,"51,862",58.70%,REP,Benjamin Campos,"36,448",41.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 39th District,REP,Ed Royce,"86,748",68.80%,DEM,Peter Anderson,"39,300",31.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 40th District,DEM,Lucille Roybal-Allard,"26,687",61.60%,DEM,David Sanchez,"16,664",38.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 41st District,DEM,Mark Takano,"43,180",56%,REP,Steve Adams,"33,902",44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 42nd District,REP,Ken Calvert,"70,602",65.90%,DEM,Tim Sheridan,"36,575",34.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 43rd District,DEM,Maxine Waters,"59,591",70%,REP,John Wood,"25,502",30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 44th District,DEM,Janice Hahn,"51,711",86.90%,Other,Adam Shbeita,"7,813",13.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 45th District,REP,Mimi Walters,"103,165",65.20%,DEM,Drew Leavens,"55,064",34.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 46th District,DEM,Loretta Sanchez,"45,694",58.60%,REP,Adam Nick,"32,247",41.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 47th District,DEM,Alan Lowenthal,"62,544",55.20%,REP,Andy Whallon,"50,707",44.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 48th District,REP, Dana Rohrabacher,"108,004",64.20%,DEM,Suzanne Savary,"60,164",35.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 49th District,REP,Darrell Issa,"94,365",60.20%,DEM,Dave Peiser,"62,313",39.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 50th District,REP,Duncan Hunter,"107,835",71.40%,DEM,James Kimber,"43,299",28.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 51st District,DEM,Juan Vargas,"51,644",68.80%,REP,Stephen Meade,"23,424",31.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 52nd District,DEM,Scott Peters,"98,332",51.60%, REP,Carl DeMaio,"92,408",48.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California - 53rd District,DEM,Susan Davis,"83,686",58.70%,REP,Larry Wilske,"58,880",41.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado - 1st District,DEM,Diana DeGette,"174,756",65.70%,REP,Martin Walsh,"77,551",29.20%,Other,Frank Atwood,"8,770",3.30%,Other,Danny Stroud,"4,944",1.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
