Connecticut - 5th District,DEM,Elizabeth Esty,"142,912",51.50%,REP,Andrew Roraback,"134,489",48.50%
Delaware - 1st District,DEM,John Carney,"249,905",64.40%,REP,Thomas Kovach,"129,749",33.40%,Other,Bernard August,"4,273",1.10%,Other,Scott Gesty,"4,096",1.10%
Florida - 1st District,REP,Jeff Miller,"238,363",69.60%,DEM,Jim Bryan,"92,907",27.10%,Other,Calen Fretts,"11,165",3.30%
Florida - 2nd District,REP,Steve Southerland,"175,842",52.70%,DEM,Al Lawson,"157,599",47.30%
Florida - 3rd District,REP,Ted Yoho,"204,285",64.70%,DEM,Jacques Gaillot,"102,427",32.50%,Other,Philip Dodds,"8,866",2.80%
Florida - 4th District,REP,Ander Crenshaw,"239,953",76.10%,Other,Jim Klauder,"75,229",23.90%
Florida - 5th District,DEM,Corrine Brown,"190,650",70.80%,REP,LeAnne Kolb,"70,766",26.30%,Other,Eileen Fleming,"7,986",3%
Florida - 6th District,REP,Ron DeSantis,"195,933",57.20%,DEM,Heather Beaven,"146,447",42.80%
Florida - 7th District,REP,John Mica,"185,569",58.70%,DEM,Jason Kendall,"130,509",41.30%
Florida - 8th District,REP,Bill Posey,"205,357",58.90%,DEM,Shannon Roberts,"130,808",37.50%,Other,Richard Gillmor,"12,600",3.60%
Florida - 9th District,DEM,Alan Grayson,"165,098",62.50%,REP,Todd Long,"98,984",37.50%
Florida - 10th District,REP,Daniel Webster,"164,873",51.80%,DEM,Val Demings,"153,646",48.20%
Florida - 11th District,REP,Richard Nugent,"218,315",64.50%,DEM,David Werder,"120,253",35.50%
Florida - 12th District,REP,Gus Bilirakis,"209,484",63.50%,DEM,Jonathan Snow,"108,663",32.90%,Other,John Russell,"6,865",2.10%,Other,Paul Elliott,"4,914",1.50%
Florida - 13th District,REP,Bill Young,"189,552",57.60%,DEM,Jessica Ehrlich,"139,671",42.40%
Florida - 14th District,DEM,Kathy Castor,"196,993",70.30%,REP,Evelio Otero,"83,385",29.70%
Florida - 15th District,REP,Dennis Ross,Uncontested race
Florida - 16th District,REP,Vern Buchanan,"187,123",53.60%,DEM,Keith Fitzgerald,"161,875",46.40%
